nicho,marca,dominio,cor_hex,logo_url
Companhia Aérea,Qatar Airways,qatarairways.com,#8E2157,https://cdn.brandfetch.io/idZKewuK9S/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Lufthansa,lufthansa.com,#05164D,https://cdn.brandfetch.io/id1SLeDvgF/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,British Airways,britishairways.com,#2f5e9e,https://cdn.brandfetch.io/iddDlYtNsj/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Iberia,iberia.com,#d7192d,https://cdn.brandfetch.io/id7Ift3wzp/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Copa Airlines,copaair.com,#0032A0,https://cdn.brandfetch.io/id7Krz3SDX/w/331/h/331/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Turkish Airlines,turkishairlines.com,#c70a0c,https://cdn.brandfetch.io/idCFjGn-G9/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,KLM,klm.com.br,#0095db,https://cdn.brandfetch.io/id6HKDgYDF/w/820/h/547/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Alitalia,alitalia.com,#000000,https://cdn.brandfetch.io/id2p16PdR-/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Aerolineas Argentinas,aerolineas.com.ar,#f6bb60,https://cdn.brandfetch.io/idh0TdD3uK/w/200/h/200/theme/dark/icon.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Avianca,avianca.com,#000000,https://cdn.brandfetch.io/idgYzF_oJj/w/960/h/960/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Companhia Aérea,Swiss International Airlines,swiss.com,#e60005,https://cdn.brandfetch.io/id6R-aT8nX/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Cartões,Visa,visa.com.br,#313131,
Cartões,Mastercard News,mastercard.com.br,#f79e1b,https://cdn.brandfetch.io/idy21VLzkM/w/180/h/180/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Cartões,Elo,elo.com.br,#003933,https://cdn.brandfetch.io/idT3-XCDJD/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Cartões,American Express,americanexpress.com.br,#006fcf,https://cdn.brandfetch.io/idgUmCD6wN/w/820/h/820/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Cartões,Diners Club,dinersclub.com,#0079be,https://cdn.brandfetch.io/idRpEvl4_u/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Cartões,Hipercard,hipercard.com.br,#b21f2d,https://cdn.brandfetch.io/idrs9PomAi/w/256/h/112/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,LIVELO,livelo.com.br,#df0978,https://cdn.brandfetch.io/idcBSnzgu0/w/180/h/180/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,Smiles,smiles.com.br,#eb7f02,https://cdn.brandfetch.io/idGtn14sSi/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,,latampass.com,#060000,
Programas de Pontos/Milhas,Esfera,esfera.com.vc,#2e30ad,https://cdn.brandfetch.io/idw4hqM92g/w/256/h/55/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,Dotz,dotz.com.br,#fd7e14,https://cdn.brandfetch.io/idxu_hsnK3/w/240/h/125/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,,iupp.com.br,#000000,
Programas de Pontos/Milhas,,pao-de-acucar.com,#000000,
Programas de Pontos/Milhas,,stix.com.br,#ffffff,
Programas de Pontos/Milhas,,abasteceai.com.br,#ffd41c,https://cdn.brandfetch.io/idc4D1GHsi/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,Premmia,premmia.com.br,#31db4e,https://cdn.brandfetch.io/id0LIQIb4i/w/820/h/323/theme/light/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Pontos/Milhas,Shellbox,shellbox.com.br,#02cea9,
Varejo,Amazon,amazon.com.br,#FF6200,https://cdn.brandfetch.io/idGy7ccMj0/w/322/h/96/theme/light/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
